run_id,task,condition,provider,model,temperature,rep,value,n,error
T1_C0_openai_r5,T1,C0,openai,gpt-4.1,1.0,5,-0.11756978413300206,150,
T1_C0_openai_r1,T1,C0,openai,gpt-4.1,1.0,1,-0.11756978413300206,150,
T1_C0_openai_r4,T1,C0,openai,gpt-4.1,1.0,4,-0.11756978413300206,150,
T1_C0_openai_r2,T1,C0,openai,gpt-4.1,1.0,2,-0.11756978413300206,150,
T1_C0_openai_r3,T1,C0,openai,gpt-4.1,1.0,3,-0.11756978413300206,150,
T1_C4_openai_r3,T1,C4,openai,gpt-4.1,1.0,3,-0.11756978413300206,150,
T1_C4_openai_r1,T1,C4,openai,gpt-4.1,1.0,1,-0.11756978413300206,150,
T1_C4_openai_r4,T1,C4,openai,gpt-4.1,1.0,4,-0.11756978413300206,150,
T1_C4_openai_r2,T1,C4,openai,gpt-4.1,1.0,2,-0.11756978413300206,150,
T1_C4_openai_r5,T1,C4,openai,gpt-4.1,1.0,5,-0.11756978413300206,150,
T1_C0_openai_r6,T1,C0,openai,gpt-4.1,1.0,6,-0.11756978413300206,150,
T1_C4_openai_r6,T1,C4,openai,gpt-4.1,1.0,6,-0.11756978413300206,150,
T2_C0_openai_r3,T2,C0,openai,gpt-4.1,1.0,3,,,"noparse: test_size=0.25 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters."
T2_C0_openai_r4,T2,C0,openai,gpt-4.1,1.0,4,,,"noparse: test_size=0.25 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters."
T2_C0_openai_r2,T2,C0,openai,gpt-4.1,1.0,2,,,"noparse:, test_size=0.2 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters."
T2_C0_openai_r1,T2,C0,openai,gpt-4.1,1.0,1,0.892857,333,
T2_C0_openai_r5,T2,C0,openai,gpt-4.1,1.0,5,,,"noparse:, test_size=0.2 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters."
T2_C4_openai_r1,T2,C4,openai,gpt-4.1,1.0,1,0.880597,333,
T2_C0_openai_r6,T2,C0,openai,gpt-4.1,1.0,6,,,"noparse:, test_size=0.2 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters."
T2_C4_openai_r2,T2,C4,openai,gpt-4.1,1.0,2,0.880597,333,
T2_C4_openai_r3,T2,C4,openai,gpt-4.1,1.0,3,0.8805970149253731,333,
T2_C4_openai_r4,T2,C4,openai,gpt-4.1,1.0,4,0.8805970149253731,333,
T2_C4_openai_r5,T2,C4,openai,gpt-4.1,1.0,5,0.8805970149253731,333,
T2_C4_openai_r6,T2,C4,openai,gpt-4.1,1.0,6,0.8805970149253731,333,
T3_C0_openai_r2,T3,C0,openai,gpt-4.1,1.0,2,,,"noparse:, line 4, in <module>
    from statsmodels.stats.anova import AnovaRM
ModuleNotFoundError: No module named 'statsmodels'"
T3_C0_openai_r1,T3,C0,openai,gpt-4.1,1.0,1,0.6696719536879614,342,
T3_C0_openai_r3,T3,C0,openai,gpt-4.1,1.0,3,,,"noparse:, line 4, in <module>
    from statsmodels.stats.anova import AnovaRM
ModuleNotFoundError: No module named 'statsmodels'"
T3_C0_openai_r4,T3,C0,openai,gpt-4.1,1.0,4,0.6696719536879614,342,
T3_C4_openai_r2,T3,C4,openai,gpt-4.1,1.0,2,0.6696719536879615,342,
T3_C0_openai_r5,T3,C0,openai,gpt-4.1,1.0,5,0.6696719536879615,342,
T3_C0_openai_r6,T3,C0,openai,gpt-4.1,1.0,6,0.6696719536879615,342,
T3_C4_openai_r1,T3,C4,openai,gpt-4.1,1.0,1,0.6696719536879615,342,
T3_C4_openai_r3,T3,C4,openai,gpt-4.1,1.0,3,0.6696719536879615,342,
T3_C4_openai_r4,T3,C4,openai,gpt-4.1,1.0,4,0.6696719536879615,342,
T3_C4_openai_r6,T3,C4,openai,gpt-4.1,1.0,6,0.6696719536879615,342,
T3_C4_openai_r5,T3,C4,openai,gpt-4.1,1.0,5,0.6696719536879615,342,
T4_C0_openai_r1,T4,C0,openai,gpt-4.1,1.0,1,33.77586582256245,4,
T4_C0_openai_r2,T4,C0,openai,gpt-4.1,1.0,2,33.77586582256245,4,
T4_C0_openai_r3,T4,C0,openai,gpt-4.1,1.0,3,33.77586582256245,4,
T4_C0_openai_r4,T4,C0,openai,gpt-4.1,1.0,4,3.4641913664166615,39,
T4_C0_openai_r6,T4,C0,openai,gpt-4.1,1.0,6,3.2952064217134107,41,
T4_C0_openai_r5,T4,C0,openai,gpt-4.1,1.0,5,33.77586582256245,4,
T4_C4_openai_r2,T4,C4,openai,gpt-4.1,1.0,2,3.4641913664166615,39,
T4_C4_openai_r1,T4,C4,openai,gpt-4.1,1.0,1,3.4641913664166615,39,
T4_C4_openai_r4,T4,C4,openai,gpt-4.1,1.0,4,3.4641913664166615,39,
T4_C4_openai_r3,T4,C4,openai,gpt-4.1,1.0,3,3.4641913664166615,39,
T4_C4_openai_r6,T4,C4,openai,gpt-4.1,1.0,6,3.464191,39,
T4_C4_openai_r5,T4,C4,openai,gpt-4.1,1.0,5,3.4641913664166615,39,
T1_C0_google_r2,T1,C0,google,gemini-pro-latest,1.0,2,-0.11756978413300208,150,
T1_C0_google_r1,T1,C0,google,gemini-pro-latest,1.0,1,-0.11756978413300208,150,
T1_C0_google_r3,T1,C0,google,gemini-pro-latest,1.0,3,-0.11756978413300208,150,
T1_C0_google_r4,T1,C0,google,gemini-pro-latest,1.0,4,-0.11756978413300208,150,
T1_C0_google_r5,T1,C0,google,gemini-pro-latest,1.0,5,-0.11756978413300208,150,
T1_C4_google_r2,T1,C4,google,gemini-pro-latest,1.0,2,-0.11756978413300206,150,
T1_C4_google_r3,T1,C4,google,gemini-pro-latest,1.0,3,-0.11756978413300206,150,
T1_C0_google_r6,T1,C0,google,gemini-pro-latest,1.0,6,-0.11756978413300208,150,
T1_C4_google_r1,T1,C4,google,gemini-pro-latest,1.0,1,-0.11756978413300206,150,
T1_C4_google_r4,T1,C4,google,gemini-pro-latest,1.0,4,-0.11756978413300206,150,
T1_C4_google_r5,T1,C4,google,gemini-pro-latest,1.0,5,-0.11756978413300206,150,
T1_C4_google_r6,T1,C4,google,gemini-pro-latest,1.0,6,-0.11756978413300206,150,
T2_C0_google_r1,T2,C0,google,gemini-pro-latest,1.0,1,0.8955223880597015,333,
T2_C0_google_r2,T2,C0,google,gemini-pro-latest,1.0,2,0.8805970149253731,333,
T2_C0_google_r4,T2,C0,google,gemini-pro-latest,1.0,4,0.8805970149253731,333,
T2_C0_google_r3,T2,C0,google,gemini-pro-latest,1.0,3,0.8805970149253731,333,
T2_C0_google_r5,T2,C0,google,gemini-pro-latest,1.0,5,0.8805970149253731,333,
T2_C4_google_r1,T2,C4,google,gemini-pro-latest,1.0,1,0.8805970149253731,333,
T2_C4_google_r2,T2,C4,google,gemini-pro-latest,1.0,2,0.8805970149253731,333,
T2_C0_google_r6,T2,C0,google,gemini-pro-latest,1.0,6,0.8805970149253731,333,
T2_C4_google_r3,T2,C4,google,gemini-pro-latest,1.0,3,0.8805970149253731,333,
T2_C4_google_r4,T2,C4,google,gemini-pro-latest,1.0,4,0.8805970149253731,333,
T2_C4_google_r6,T2,C4,google,gemini-pro-latest,1.0,6,0.8805970149253731,333,
T3_C0_google_r1,T3,C0,google,gemini-pro-latest,1.0,1,0.6696719536879615,342,
T3_C0_google_r3,T3,C0,google,gemini-pro-latest,1.0,3,0.6696719536879615,342,
T3_C0_google_r2,T3,C0,google,gemini-pro-latest,1.0,2,0.6696719536879615,342,
T2_C4_google_r5,T2,C4,google,gemini-pro-latest,1.0,5,0.8805970149253731,333,
T3_C0_google_r4,T3,C0,google,gemini-pro-latest,1.0,4,0.6696719536879615,342,
T3_C0_google_r5,T3,C0,google,gemini-pro-latest,1.0,5,0.6696719536879615,342,
T3_C4_google_r1,T3,C4,google,gemini-pro-latest,1.0,1,0.6696719536879615,342,
T3_C4_google_r2,T3,C4,google,gemini-pro-latest,1.0,2,0.6696719536879615,342,
T3_C4_google_r3,T3,C4,google,gemini-pro-latest,1.0,3,0.6696719536879615,342,
T3_C0_google_r6,T3,C0,google,gemini-pro-latest,1.0,6,0.6696719536879615,342,
T3_C4_google_r5,T3,C4,google,gemini-pro-latest,1.0,5,0.6696719536879615,342,
T3_C4_google_r4,T3,C4,google,gemini-pro-latest,1.0,4,0.6696719536879615,342,
T3_C4_google_r6,T3,C4,google,gemini-pro-latest,1.0,6,0.6696719536879615,342,
T4_C0_google_r1,T4,C0,google,gemini-pro-latest,1.0,1,3.2952064217134107,41,
T4_C0_google_r2,T4,C0,google,gemini-pro-latest,1.0,2,3.2952064217134107,41,
T4_C0_google_r3,T4,C0,google,gemini-pro-latest,1.0,3,3.2952064217134107,41,
T4_C0_google_r4,T4,C0,google,gemini-pro-latest,1.0,4,3.2952064217134107,41,
T4_C0_google_r6,T4,C0,google,gemini-pro-latest,1.0,6,3.2952064217134107,41,
T4_C0_google_r5,T4,C0,google,gemini-pro-latest,1.0,5,3.2952064217134107,41,
T4_C4_google_r2,T4,C4,google,gemini-pro-latest,1.0,2,3.4641913664166615,39,
T4_C4_google_r1,T4,C4,google,gemini-pro-latest,1.0,1,3.4641913664166615,39,
T4_C4_google_r3,T4,C4,google,gemini-pro-latest,1.0,3,3.4641913664166615,39,
T4_C4_google_r5,T4,C4,google,gemini-pro-latest,1.0,5,3.4641913664166615,39,
T4_C4_google_r4,T4,C4,google,gemini-pro-latest,1.0,4,3.4641913664166615,39,
T4_C4_google_r6,T4,C4,google,gemini-pro-latest,1.0,6,3.4641913664166615,39,
